,SentimentText
99,  no movie times for sunday!  Rats will have to plan tomorrow. I guess this means I have to work on those two  presentations I am doing!
100,  no pavel tonight &lt;Tigersfan &gt;
101,  not a cool night.
102,  oh thank you!
103,  pleased
104,  probably guna get off soon since no one is talkin no more
105,  really wanted Safina to pull out a win &amp; to lose like that...
106,"  RIP, David Eddings."
107,  Rose and ood will be back in the Xmas Who special!  YAY!  Damn that's half a year away.
108, - sannesias: Aww no neighbor! We need to watch Mean Girls :] http://tumblr.com/xv31s2pi8
109,  so whats the status on next weekend
110,  sorry @gigi4462 The Ex Husband has overdosed on his daily dose of haterade
111,  Thanks for your definition of throwbie!  Editors reviewed your entry and have decided to not publish it.
112,"  Thanks, I need all the help i can get."
113, - that explains alot.
114,  There's going to be a Heathers sequel.  Winona4ever!  They better not fuck it up.
115,"  told not to drink w/my Rx so just gave all the b.b. porter &amp; obs. stout that I brought home from OR to my neighbors.  v, v, sad."
116,  trae is so sweet! He just bought me a new baithing suit!! Wove him 
117,"  True, highly subjective of me there. Tombre was actually my favorite character in the book. You got me  - http://is.gd/13be0 - Rishabh"
118,  u guys knw whyy
119,  very much so 
120,  waahhh now I'm getting sad....miss hub :-'(&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;
121,--  we were standing out in the pouring rain.. We were sitting on top of the world..  --   summer sucks      --
122,"  Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!"
123,  where is my picture i feel naked 
124,  Why aren't there any trains going to manchester on a sunday?!!  Now I can't go to the @jonasbrothers concert.
125, - Why must people be so picky. I mean 6 hours work and no dice!? whatï¿½s up with that! http://tumblr.com/xsg1m3ufn
126,  Why Twitter will soon become obsolete? http://www.imediaconnection.com/content/23465.asp
127,  wide awake   NOT!!!
128,  yeah me too. Its been awful weather here for the last week so that stinks. Kristis comin down and moe said mmmaybe he take us for  ...
129, - You: hi Stranger: HELLO I AM FRANK LAMPARD HOW ARE YOU You: fine You: and urself Stranger: i am gay Your... http://tumblr.com/xaj24dkly
130,  you'll always be my one and only...  [12*23*2007]
131, #3turnoffwords this shit sucks
132, #asylm J2 panel is over. Guess it's back to normal life.
133, #poemsunder140 ....started by @shannonelyse1
134, #squarespace brighten my bad day! i never win anything...
135," #Susan Boyle didnt win! mh well, diversity was very good though! CONGRATZ!!"
136, #twenty20
137," &lt;--- That is all, and believe me.. it's enough!"
138, &lt;3 goooood timessss
139, &lt;3 GrAdUaTE 09&lt;3
140," &quot; Vandals paint swastikas on home of author of gay, lesbian church story : Naples Daily News&quot; ( http://bit.ly/11zyzl )"
141, &quot;An unknown error occured (-4)&quot;. uh oh. iPhone OS 3 fail so far 
142, &quot;experts (homers) predict Eagles to go 12-4 and Giants to go 9-7/ BS! http://www.dailysportspages.com/forums/showthread.php?t=49343
143, &quot;I know you hungry so lets go outside on the balcony so you can eat&quot;....
144, &quot;I want you so bad it's driving me  mad&quot;
145, &quot;The 10 Men a UK Female Internet Entrepreneur Should Know when Starting and Growing a Business : The Next Women&quot; ( http://tinyurl.com ...
146, &quot;The truth is hiding in your eyes&quot; @patita @MissMarian  Paramore ï¿½ Decode @Daninho502  ? http://blip.fm/~5ytke
147, &quot;Try to turn on my tv to get you out of my head. I've got this feeling inside that I just won't admit...&quot; (that is literally how I feel)
148," &quot;well, the truth is I miss you so&quot;- Coldplay"
149, (tears) :'-( Today is the last day with my kids...They go on summer break at their Dads tomorrow. *sighs* http://plurk.com/p/x8j86
150, (unsure) (annoyed) http://plurk.com/p/1230lz
151, (via @designrelated) are designed gallery exhibition postcards/mailers going extinct? via NYT http://ow.ly/fHJc
152, *BeautifulyLost
153,- *cries* I'm going to miss Harry Potter when it comes out.  I'm leaving to Vietnam on July 11th.  I'm going to cry!!
154,-- *hummin* I SAY &quot;shut up &amp; put your money where your mouth is&quot; ...headin' out to reality. Cheers Twitter world! 
155,-- . *sigh* You cant love someone that doesn't love you back that's like stalker status . GET a divorce &amp;&amp; move on . Trinity. 
156," . . . . going back to bed, because I'm lookin' around and don't see a reason to be awake atm. Be up in a little."
157,"-- . Aiqht Goodniqht . Tri, Neena, Malcolm, Chaise , JLew, ATL &lt;333 Love Much . "
158,-- . Triiiiiii .  ily . even if Chaise doesn't . =D *dies of laughter*
159, .. i wantt hiim soo badd !!
160," .. watching tv , bed, shopping w. mom, out w. trent hopefully, i need my best friend"
161, ... had weird encounters with so many homeless/creeps on the walk home tonight all by myself   awesome... really...
162, ... Rained out truck race
163, ... Why am I feeling worse??? F!!!
164, .... Feeling pain and happiness at the same time. How confusing!
165, ..... hot choco is the best!
166, ....in a shirt and panties. celulite
167, ..had to turn back to North due to body on line. So missing Design Council Design 4 Tech Transfer event   http://bit.ly/pXrzV...
168, ..y everything is so hard? :/
169, .bueno good bye. good night
170, : Beach day with Scoobs. =( : Still no phone.
171," : Let's have fun,. When I give ya what I give ya."
172, :[ I don't want to move!!!
173," :-D ))))))))...WHAT AN AMAZING NIGHT,DAY &amp; NIGHT AGAIN!! HI TWITS! I MiSS U GUYS"
174, @ canaveral national  seashore
175, @ progressing in the production department with &quot;The Uprizing&quot; thats the priority getting the head nodding beats and then we reach out
176, @ taylorrhicks enjoy chicago..b new venue is always cool. You shine everywhere you go. I know who you are. In time so will everyone. 
177, @ the train crash in DC .....
178,' @ Thestreetforce  '
179, @3sixty5days makes me smile.
180," @adamisacson My first day off in 3 weeks, and my child got up before 7:00. So watch for me on &quot;Nancy Grac.. http://tr.im/khKW"
181," @adbert: &quot;#Video [Woody Woodpecker â The Barber of Seville] I am great, @klitoria, just wishing to be a ch... â« http://blip.fm/~7g6r0"
182, @alexrauchman I am happy you are staying around here. Drexel is a fabulous university. You should be proud. yeah.
183, @alvinkschneider what happened to angels and demons and lions and tigers and bears!?
184, @AmericanWomannn Well that sure minimizes the impact...LOL
185," @ange_black @sween I call dibs on the Voltron arm. No the leg. Wait. Where are my manners? @baileygenine,.. http://tr.im/oERy"
186, @CharlottegC I just saw ur mum
187, @chloelunn and @meganmcdowell GET YOUR FAT ASSES ON HERE. NAI.
188,"- @codinghorror See, three external monitors on one laptop, http://www.twitpic.com/6e3zp Win7RC  1 x 1920x1080, 2 x 1280x1024"
189, @copicmarker&quot; facebook.com/copic.marker if you're cool. Or if you're not cool. Maybe I'll send some cool .. http://tr.im/oyT7
190,' @crewislife  you want to start the morning later; in New York we can do that  (Californians have it even better)
191, @cybervenus http://twitpic.com/75kwb ~ LOL LuV IT! &gt;&gt; http://twitpic.com/75hsg Did any1 find or c 1? #a.. http://bit.ly/mUMFh
192, @dandelionas is making fettucini and garlic bread!
193, @danregal  tell @pfont i said Happy BDay!! 
194,"- @Darcy_Lussier @lkrammes I went to work once last year with no pants. Ironically, that was my last day of work at that job. FML "
195," @DirtyRose17  told you, you would sweep haha :-p"
196, @dreamingspires. there r many gr8 science cartoons http://bit.ly/6EW4Q http://bit.ly/gXH3q http://bit.ly/18sjXI http://bit.ly/KEAy2
197,- @Em91 Edinburgh fringe is only 10 weeks away?! I need monies  Btw I'm Elliott from @angryfeet - blame @howlieT for the Twitter intrusion
198," @emilymariie why didnt you come to school?? have you done the short stack thing by yourself, or do you still need me?"
199,"- @EvertB which one? http://bit.ly/10o8LW, http://bit.ly/Nh82S or http://bit.ly/wr8Vz - latter for the US Store only  #iphone #comics"
200, @georgediaz #Magic ..thinking less than 50 % chance Hedo stays in Orlando. He's gonna go for the $$. They all do. Can't blame him though.
201, @Glamicole ..now who wud make this beautiful plc cry?
202, @HaterMagazine: @damienrandle it is now the outer fat kid.
203,"- @haugern The servers are now backup, if you experience any more problems then please let me know  Sorry about the delay..."
204," @hawaiibuzz: &quot;yes, i am lol j/k luv this! @DJDolceVita: &quot;you are like a gentle breeze that has blown throug... â« http://blip.fm/~7s7mn"
205," @hellopnsdear se MORREA a mi Joseph, no no se vale."
206, @hidingesther @linininiooh are my future rooooooooomies! NYC holleR
207, @Hijack_King7 I hope u have cheeSe burgerS 4 @Snubbmatic LMBO
208, @iamyas awesome
209, @ivegotzooms I am nothing of the kind and everything of the sort http://tr.im/mLsn
210,- @jerrybattiste &quot;..pick up some flowers for the teacher..&quot; I'm jealous! I want flowers without having to be in the hospital to get them! 
211,- @joaoqalves Think again   Talvez seja do Ãªnfase na cifra. Mas atenÃ§Ã£o: &quot;Security is a chain; it's as strong as the weakest link â¦
212, @jonasbrothers Why is your YouTube account suspended? lol Single Ladies dance? I NEED TO WATCH IT AGAIN!
213,- @JuicyJones I know.. SOLD OUT though. 
214,- @kaitymarine - watch E3 @MCMudkips - Will do 
215,- @katherineholden Thanks K! Here's hoping! Pretty nervous though... 
216, @katiedontcry should get on aim and talk to me. i miss her.
217, @kcome ?????????????????????????????????? ????????????1000 Followers???????????? http://tr.im/mWKn
218," @khead I'll tell ya, grocery store. It was better when you blasted the oldies. Sugar Ray does not make me.. http://tr.im/jd0y"
219, @kvetchingeditor's kashrut convo makes me want to keep more kosher but my roomies catholic &amp; he has a pork loin in the fridge #kosherFAIL
220, @Leloz isn't home neither is @sozi1 ... @althani96 U BETTER HAVE IT!!!
221," @LHSOPERAFIENDS yall bitches better wake up early to go to the LA Opera, kay!?"
222,"- @littlecharva - I'm immune to dentists' drills etc now, it just doesn't bother me at all. Having gum lift surgery next week tho *eek* "
223, @lolife4life where r u tonite im still awake!
224, @lorinimus hates Bebot App
225," @masareus&quot; @dhempe congrats bhai, but like the oldies in &gt; used to say - arre bhai kuch kam ka http://tr.im/ox5G"
226, @MelodyChase
227, @mgph3nom chilling on twitter via my spanking new blackberry w/ unlimited internet : http://tr.im/mZVC
228, @michaelsarver so do you give him every inch of your love every night?
229, @mimbles @WParenthetical
230,' @minghao Maybe you can pop @StarHubCares a tweet. They are quite active on twitter. 
231," @MsNovember It's a shame all the women in Mamma Mia are so horny, since all the men on this island are so.. http://tr.im/kmET"
232,- @nibaq Thanks for letting me know. I'm going to check out Eureka later with this knowledge 
233, @Oneshine What are u referring to?
234, @plmusic22
235,"- @PoisonGirl10 What's up? @sevgli Hey you!  @lowridergrl I'm doing ok, thx. You? @cristinerafae You, too! TTYL! @Nic0pic0 Oh, sowwy! lol"
236, @RAPPUBLICIST HAPPY MOTHERS DAY!
237,"- @raybooysen I knew Sharepoint was written by interns, I just knew it !! "
238,                                     I miss her so much already...
239,               just practising.....how I feel       
240,            Miss my love Jamie
241,          FUCK YOU!
242,        my head feels like a bowling ball
243,        my heart hurts badly...
244,       FS keeps crashing when I try to load Bungie plane.
245,      My current headset is on its deathbed now!  My dad gave it to me just 3 weeks back!    
246,     ....    My mood is currently BLAH . Sitting in a parking lot
247,     I am happy     
248,    ...that is all.
249,    everyone went home. and not everyone was even here! ~CMF &lt;3
250,    fed up....
251,"    fuck, fuck, fuuuuck!"
252,"    Not feeling it today     And to make matters worst its super nasty and rainy outside, YUCK!"
253,   @Beansummer
254,"   Awwwwwh  i wanted Aiden Davis 2 WIN, i &lt;3 him so bummed he didnt "
255,   bed time now....
256,   Faltam 4 dias para o World Drawing day
257,"   Friends like these ... no thanks, I'm not fake! ^ ^"
258,   haha omg. stayin steezy &amp; mowin the lawn... loviie still here &amp;&amp; goiing tanning soon.
259,   i think my bf is cheating on me!!!!     
260,   i wanna play with my camera but i will settle for playing with iv's and heart monitors
261,   i want an octo drive
262,"   I want to display my pretty voltron!  Upside, I get two pretty voltrons!"
263,   i want to find a way to put my photos on phone here i have Bluetooth in both phone and computer but it doesn't work
264,   IN an effort to bring you the best content we just added at lease 30 hours to the release of The digital Rapture.  soon... hang tight
265,  --- is our response to what happened today. and that is all.
266,"   J, you are right... it hurts."
267,"   kinda but not really, but kinda "
268,"   let's have a moment of silence for our childhood homes... sadly, it can't be replaced and we can never go back"
269,   lol all these #robotpickuplines are hilarious 
270,"   man, oh man     (i should punch myself in the head, but im ok with that)"
271,"   my friends can get with ur friends and we can all b friends, shit, we could do this every weeknd.. Aiigght?  with coop n the crew"
272,"   No man is worth your tears, and the one that is won't make you cry!"
273,   rain rain go away!
274,   storms are scary!
275,   such a beautiful satisfying day of bargain shopping. loves it.
276,   Tell those girls your clocking out lol
277,   thank god today is friday !!! I love Ti Ti! &lt;3
278,   the batt to my internet connection died.  Guess its back to the mobile!
279,   thrilled about being at work this morning   
280,   we break dance not hearts by Short Stack is my ringtone.... i LOVE that song!!!.....
281,   www.apple.com/iphone now has it for the 18th   
282,  #squarespace #trackle  no apple iphone card for us  maybe tomorrow! I guess it helps if you tweet it huh?  We forgot 
283,  (unsure)  (hassle)  (:  (music) http://plurk.com/p/yq08l
284,                                           exhausted
285,          i want some ben&amp;jerrys cake batter please ugh
286,          my life is very lazzzzyyyy!!!!!!!            ***********
287,"        wish ella was on or somebody,,,,"
288,       ish in a good mood .....tlk to me
289,      i think i'm going to go 3 a long drive then when i get to the pacific ocean open my car door and throw my pc in the ocean
290,      what the hell BBC?
291,     #canucks
292,     I dont like this weekend.. Huhuhu ( (
293,     I'll get on it right away!
294,-     J + A MADE NiCE..... TWiCE!                     for now ;]
295,     loves life atm!   its brilliant XD
296,     who else is in a happy mood?? =D
297,    !BYE EVERYONE!   
298,    ...lonely night
299,    blue does not work      
300,    geez I'm feeling their pain
301,    i miss my summertime daley.
302,"    on the computer ... . . . . . . *ill*    lol,       no fuckin goin to portugal        "
303,    SO FAR SO GOOD!
304,    TODAY WAS A GREAT DAY!!!
305,    UGHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
306,   #Battleground
307,"   a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot."
308,   Awwwwwh  i wanted Aiden Davis 2 WIN  i &lt;3 him so bummed he didnt 
309,   Curtain drops at the Crown Uptown after 32 ye http://www.kansas.com/news/featured/story/860875.html
310,   eh  must leave New Mexico and soon!
311,   fail maths  i knew it i was just too slow 
312,"   From Gongwer OH Report, sounds like leadership still considering library cuts, not considering tax increases. #saveohiolibraries"
313,   fuck sake. Why can things never work out for me?
314,"-   going in town todaÑ with mÑ cousinnn, [Ñ]     netball match was cancelledd "
315,   hoping to see my baby girl
316,   i don't even know.
317,   I just lost a member of my family 
318,   I'm SICK of bedtime battles   
319,   i'm so cold this morning......       i have chills all over.....   
320,   Just... 
321,   No no no. Tonight goes on the books as the worst SYTYCD results show.
322,   no shopping   
323,"  - Poor lil mousey, just out enjoying the sunny day. I don't think I'd feel so bad if it was a big gnarly rat though. Dbl standard? Yep."
324,  -- that's an EPIC sad face.
325,   This magazine story just broke my heart at the dentist's office today:  http://tinyurl.com/ngbq2c
326,   Tiger Woods is up by 2at 18 via http://nascar.com/racebuddy
327,   wanna go meet wifey but can't....  this sux   :'(
328,   Wondering why I feel like I do...I'll feel better though...Its all good! I'll be happy inspite of...Tweet ya lata 
329,"   yippeeeee yay lets gather in the hay...HIS LOVE FOUND IT'S WAY+ boy,it's Gonna STAY added 2 the Master's HOLY WAY: ALL HIS WILL+WAY"
330,  #IranElection - no one realizes how deep this goes.
331,  &gt;. Bodies from Air France crash have been found  http://twurl.nl/dvu8be (via @Paisano )
332,"  &lt; that is the story of my life, a whole bunch of frownies!"
333,               I HAVE NOOOOOOOOOO FRIENDS ON TWITTER IT MAKES ME SAD WILL SOMEONE FOLLOW ME      
334,             i just want to hear from you. i guess that's asking too much..
335,       Hardest working chica i know( mii boss lady) @MoneyAceweather (look up to her seriously) lOl
336,       i really2 don't like this condition. sucksssssss
337,"       Orlando Lost  The Series. Oh Well, Maybe Phoenix, Or Boston, Or Cleveland (The Teams I Like) Will Make It Next Year!"
338,      rinitis sucks!!!!!
339,      thanks for being the bestttttttttttttttttttt J-dawg
340,     &gt;( &gt;(  i'm mad and sad right now. Played so terrible today in both soccer and basketball.
341,     &lt;- but mustache man is not that desperate
342,     &lt;--------- my face because i'm missing zoro tonight.
343,     @riceuniversiity I know huh @Kouture85 Im bout to cry@Ahmier thanks Marco! *muah*
344,     angry
345,     praise God for this beautiful day!!!     
346,     sry matt 2 hear that (
347,     what the fucccckkkkkkkkkk
348,    Bye World!!!!!!
349,    i couldnt even have one fairytale night
350,    I'll be working when Pottercast/Lupins/Willows come near me.  FAIL.
351,"    My cell phone screen is dead.  Sooooooooooo, no texts and I don't know who's calling.  Fuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuck"
352,"    NO MORE SICKNESS. strike i say STRIKE! ohhhh well, 'nother day off school i guess"
353,    Nobody likes Year One in the reviews I've read. I'm disappointed. But maybe now I'll like it more since I'm not expecting much..
354,   (must i say more?)
355,   *old me's dead and gone*
356,   ... have to go now ??? 13 more minutes   ... please please please
357,   @Lakers!! I love you guyssss! Those rings.. Mmmyeahh! Bling blingg
358,   @PERFEKTnCHANCE (Chance) is Boo #29
359,   @Standing_Stones  Thank you very much for the DVD suggestion!  Very nice of you!  Looks good.
360,   awwwww i really hate this.
361,   bad day.
362,   bad day.....damn you @311. What kind of ticket sale was that.....
363,   Boston Globe could be shut down in 60 days http://sbne.ws/r/vWc
364,   bye guys!!!! i'ma miss ya'll sooo sooo much! but don't worry i'll be back on monday!!! have an awesome weekend!!! peace!!!!
365,   can i have some followers :' ( ... i'm so sad...    NOW THAT I'M LOSING HOPE -pressure
366,   Couldn't bless'd da mic w/ my bra's in music 2day @ERiceOnTheBeat @moneybagzfam1st @circustk
367,   CRY CRY CRY   
368,   F**kn day...
369,   Goodnight   
370,   grandma is very sick. not doing well. going to the emergency room.
371,   had a WONDERFUL day  G_D is GRRRRRRRRREAT!!!!!     
372,   I am going to shed tears if the Cavs have to go home tonight. Like seriously
373,   i am soooo sad...at this point of night i'd be cuddling with jonathan like i did for 4 years
374,   I hate you forever.
375,   I have passed 70-542 exam today   
376,   i missed it
377,   i still Feel like a Douchebag
378,   I want to write a song. I think I will.
379,- @serialseb Always thought time estimates should use 'value of Pi rule' (x 3.14). Only exception being 'Pi squared rule'. 
380, @SirKenRobinson Creativity via Twitter http://bit.ly/HVTHS
381,"- @SlashHudson you tease, i wanna hear the tracks!! "
382, @sommacolada never answering my im's
383, @soultravelers3 http://bit.ly/H9Nqe  15 TravelTips 4 student safety in roughplaces
384, @squarespace it's now fathers day and you haven't picked me...yet. I kind of want to incessantly bother you...#squarespace
385, @SRenaeNae... What is 'FML'
386, @sweetlilmzmia: &quot;Gotta LOVE Blip.fm - John Mayer Trio - CALIFORNIA DREAMIN' as heard on Conan 06/04/2009 ---... â« http://blip.fm/~7qdf0
387, @Thatsrightnate ~ Just in case you need some help w that:  http://bit.ly/12nP1H
388, @THEDIAMONDCOACH  Im sure he'd love that LOL
389, @theenglishmuse on &quot;Karl Lagerfeld&quot; 's Twitter profile(s) lol!  Heart the first pic http://tinyurl.com/cbl6tm
390, @TheIanCrawford is no longer in the Cab. To say I'm heartbroken is an understatement... good luck with everything! you're amazing ian.
391, @va_songstress broke my twitter..
392, @warbo is off clubbing... must come over to sheffield sometime &amp; party but really probably shouldn't atm. a tech conference is a conf etc
393," @weselec My avatar can't figure out what you people are, either. http://tr.im/jj70"
394, @xxkirahxx is fulfilling my life's ambition 2 go 2 a Jonas Brothers concert + I went 2 HMV and the new album is already sold out! Why me?
395," @yhf What happened to movies, anyway? It's like Hollywood forgot: in rough times, the public wants to see.. http://tr.im/mZ8l"
396, @zochula just yelled at me for picking apple store over food.
397, @ZOEBOE: &quot;whoops credit is due to   &gt;&gt;&gt;rb@MusicIsMySunshine:  &quot; ? http://blip.fm/~7d4pk
398, =&gt; How not to exit a Cessna 206 #skydiving http://bit.ly/16ZZJ7
399, 1 of me cats kittens died only 3 days old too..RIP ming.
400, 1 week before the palm pre comes out and my centro dies. I have a temp phone but my contacts aren't transfered yet. #sadpanda #fb
401,"- 20 chicken mcnuggets, 2 double cheeseburgers, large fries, and a lemonade for dinner. Why you may ask? Because I hate my body. "
402, 3 hrs on da phone...lol dude is hilarious
403,- 400th tweet (!) breakfast: everything bagel toasted w/cream cheese with an iced cap... delish 
404, 5 gb of video to upload to utube :O dam sony vegas making it so big 
405, 50% of the new footwear labeling norm is definitions that are never referred to in the document. Who wrote this up?
406, a big angry spider was crawling in my blankeys  i flicked it to the floor and cant sleep now
407, A blessed sunday everyone!
408,=- A couple years of sickness all piled up to this one day
409, A dog riding the bicycle http://bit.ly/gvMzD
410," a fly just landed in my green chile stew. i've never been big on killing bugs, but this asshole asked for it. There goes my appetite"
411, A problem shared is a buck passed
412, A_ just got the same handshake in her meeting. Vibe here sucks
413, à¸à¸¹à¹?à¸à¹à¸à¹ hitech
414,  (Jonah:whats a tweet!?) SHARON!!!!!!!!!!!!
415,  alice is beating be at my scooby doo board game!
416,  am quite tired can't wait till wwe at burswood &lt;3
417,  anyone have any advice on how to cope with a break up?
418,"  arrrrrrrgggggggghhhhhhhh!!!!!!!!!!  that's it, all lines of communications are temporarily suspended! "
419,"=-  awake, and ready for the day"
420,  Being NASTY in the studio with my woman!!!  Go SLEEPIES!!!
421,  but i understand.
422,  cars being inspected today gonna cost me over 600 dollars 
423,  e is OUT!
424,  everythings wrong.
425,  Exercise 2 build muscle mass is only thing that speeds metabolism: http://tinyurl.com/bvagbj
426,  feeling ok for the first time in a few days. thank you!
427,"  found a new way to text him, yey!"
428,  friends dying is just horrible.
429,  going for a paddle 2moz 
430,  Good Nite.  I hope Grandma visits my dreams again tonight.  Last Night was uplifting...  I miss her.
431,  Goodbassplayer... that is funny.... ;)  OilIPO.... I hope the people that will bring us good things are started early this week... 
432,  He was the best there.
433,  Hungover........ and craving chocolate! OMG how funny was the pub last night!! LOL
434,  I dont want my sister to leave me for the whole summer!
435,  i hope everyone is at church so i can just go to my concert in peace on wed.  dont have to worry about rushing back to church to visit
436, - i just spilt the last of my jordans cereal on the floor iâm distraught http://tumblr.com/xxw2329lh
437,  I miss my family and friends.
438,  I see I missed the nectar sucking dirty talk ;)
439,  I want a freaking puppy now! A cute little black yorkshire terrier.
440, - I want irissa back http://tumblr.com/xpn1wrj48
441,  I'm glad diversity got through...but what about stavros!  
442,  I'm here to tell ya ... very yummy.  Decided to go on a hunt for blender drinks ... know any good ones?
443,  I'm out of Nutella  
